subgroup,level,n,auc,brier,note
sex,F,2580,0.7191668958619828,0.1344269889233753,
sex,M,4506,0.7584733206719705,0.1110754774138784,
diabetes_flag,0,4024,0.7709381593153294,0.1164245570791287,
diabetes_flag,1,3062,0.740592673436462,0.119908566353302,
renal_history_flag,0,4890,0.7806544418329243,0.1039530865733008,
renal_history_flag,1,2196,0.7063911984546904,0.1469587432904969,
stemi_flag,0.0,1792,0.7378474616824535,0.1005900912572427,
stemi_flag,1.0,3874,0.791357680600268,0.1070662575090785,
