model,external_auc,external_auprc,external_brier,external_prevalence,external_accuracy,external_sensitivity,external_specificity,external_precision,external_f1,external_threshold,external_n,external_calibration_intercept,external_calibration_slope,external_calibration_distance,selection_rank
xgboost,0.768672807182593,0.2504649187487256,0.0916757509112358,0.0885909254160181,0.8795642284209266,0.2337837837837837,0.9423354787862868,0.2826797385620915,0.2559171597633136,0.5,8353,-1.3382611606701844,0.6250104864213828,1.7132506742488016,1
catboost,0.7703826314163893,0.2486641697150618,0.0942206933115181,0.0885909254160181,0.8781276188195858,0.2445945945945946,0.9397083935373702,0.2828125,0.2623188405797101,0.5,8353,-1.4087260032700166,0.6001196232730989,1.8086063799969176,2
random_forest,0.7697425456456062,0.247084218066677,0.1765937106990087,0.0885909254160181,0.7533820184364899,0.6270270270270271,0.7656639957966636,0.2064056939501779,0.3105756358768406,0.5,8353,-2.103105764140581,1.3753449163617126,2.478450680502293,3
svm,0.7229207862795147,0.2161183234079726,0.0785251486368827,0.0885909254160181,0.909972464982641,0.0472972972972973,0.9938263496650468,0.4268292682926829,0.0851581508515815,0.5,8353,-0.6460017053818654,0.8542034329890879,0.7917982723927776,4
logistic_l1,0.7174014221761497,0.2081067723524245,0.0829650952646497,0.0885909254160181,0.9012330899078176,0.1135135135135135,0.977801129646657,0.3320158102766798,0.1691842900302115,0.5,8353,-1.079607440072485,0.6720587996303876,1.4075486404420974,5
logistic,0.715318214576063,0.2075966560957522,0.0832742298924535,0.0885909254160181,0.900754220040704,0.1202702702702702,0.9766189412846448,0.3333333333333333,0.1767626613704071,0.5,8353,-1.107793561749988,0.6553241826453958,1.452469379104592,6
